"","year","month","UF","nconcep","nconcep_educ_low","nconcep_educ_high","nconcep_age_young","nconcep_age_old","nfetal","nfetal_educ_low","nfetal_educ_high","nfetal_age_young","nfetal_age_old","totalconcep","totalconcep_educ_low","totalconcep_educ_high","totalconcep_age_young","totalconcep_age_old"
"97",2018,4,"PE",9758,3354,6404,4308,5450,86,41,45,36,50,9844,3395,6449,4344,5500
"98",2018,4,"PI",3596,1209,2387,1598,1998,36,14,22,13,23,3632,1223,2409,1611,2021
"99",2018,4,"PR",11780,2873,8907,4421,7359,78,29,49,30,48,11858,2902,8956,4451,7407
"100",2018,4,"RJ",16064,4184,11880,6397,9667,183,67,116,90,93,16247,4251,11996,6487,9760
"101",2018,4,"RN",3369,1124,2245,1365,2004,38,18,20,16,22,3407,1142,2265,1381,2026
"102",2018,4,"RO",1847,583,1264,835,1012,16,8,8,8,8,1863,591,1272,843,1020
"103",2018,4,"RR",1108,360,748,563,545,6,1,5,3,3,1114,361,753,566,548
"104",2018,4,"RS",10544,3121,7423,3578,6966,86,39,47,27,59,10630,3160,7470,3605,7025
"105",2018,4,"SC",7362,1751,5611,2520,4842,57,24,33,23,34,7419,1775,5644,2543,4876
"106",2018,4,"SE",2525,965,1560,1053,1472,26,14,12,9,17,2551,979,1572,1062,1489
"107",2018,4,"SP",45542,7495,38047,15402,30140,351,100,251,110,241,45893,7595,38298,15512,30381
"108",2018,4,"TO",1838,424,1414,857,981,22,8,14,10,12,1860,432,1428,867,993
"109",2018,5,"AC",1314,590,724,650,664,7,4,3,6,1,1321,594,727,656,665
"110",2018,5,"AL",3647,1601,2046,1827,1820,38,24,14,17,21,3685,1625,2060,1844,1841
"111",2018,5,"AM",6459,2337,4122,3321,3138,78,38,40,35,43,6537,2375,4162,3356,3181
"112",2018,5,"AP",1276,418,858,601,675,24,8,16,11,13,1300,426,874,612,688
"113",2018,5,"BA",16270,5267,11003,6620,9650,196,78,118,58,138,16466,5345,11121,6678,9788
"114",2018,5,"CE",10132,3111,7021,4110,6022,108,41,67,45,63,10240,3152,7088,4155,6085
"115",2018,5,"DF",3630,696,2934,1136,2494,27,4,23,8,19,3657,700,2957,1144,2513
"116",2018,5,"ES",4870,1316,3554,1775,3095,40,15,25,13,27,4910,1331,3579,1788,3122
"117",2018,5,"GO",8822,1910,6912,3482,5340,64,22,42,19,45,8886,1932,6954,3501,5385
"118",2018,5,"MA",9076,3198,5878,4610,4466,112,53,59,52,60,9188,3251,5937,4662,4526
"119",2018,5,"MG",23160,5137,18023,7985,15175,195,58,137,71,124,23355,5195,18160,8056,15299
"120",2018,5,"MS",3969,1239,2730,1687,2282,37,23,14,16,21,4006,1262,2744,1703,2303
"121",2018,5,"MT",4911,1027,3884,2036,2875,39,10,29,17,22,4950,1037,3913,2053,2897
"122",2018,5,"PA",11043,4427,6616,5735,5308,118,52,66,47,71,11161,4479,6682,5782,5379
"123",2018,5,"PB",4948,1745,3203,2032,2916,43,20,23,18,25,4991,1765,3226,2050,2941
