"","year","month","UF","nconcep","nconcep_educ_low","nconcep_educ_high","nconcep_age_young","nconcep_age_old","nfetal","nfetal_educ_low","nfetal_educ_high","nfetal_age_young","nfetal_age_old","totalconcep","totalconcep_educ_low","totalconcep_educ_high","totalconcep_age_young","totalconcep_age_old"
"133",2018,5,"SE",2895,1174,1721,1215,1680,34,0,0,0,0,2929,1174,1721,1215,1680
"134",2018,5,"SP",53195,8469,44726,17623,35572,439,0,0,0,0,53634,8469,44726,17623,35572
"135",2018,5,"TO",2033,493,1540,956,1077,16,0,0,0,0,2049,493,1540,956,1077
"136",2018,6,"AC",1309,614,695,653,656,18,0,0,0,0,1327,614,695,653,656
"137",2018,6,"AL",3789,1581,2208,1922,1867,38,0,0,0,0,3827,1581,2208,1922,1867
"138",2018,6,"AM",6585,2300,4285,3405,3180,67,0,0,0,0,6652,2300,4285,3405,3180
"139",2018,6,"AP",1272,417,855,619,653,9,0,0,0,0,1281,417,855,619,653
"140",2018,6,"BA",17065,5442,11623,7106,9959,202,0,0,0,0,17267,5442,11623,7106,9959
"141",2018,6,"CE",10416,3217,7199,4293,6123,93,0,0,0,0,10509,3217,7199,4293,6123
"142",2018,6,"DF",3810,638,3172,1133,2677,17,0,0,0,0,3827,638,3172,1133,2677
"143",2018,6,"ES",4878,1333,3545,1811,3067,30,0,0,0,0,4908,1333,3545,1811,3067
"144",2018,6,"GO",8692,1830,6862,3459,5233,79,0,0,0,0,8771,1830,6862,3459,5233
"145",2018,6,"MA",9304,3277,6027,4753,4551,95,0,0,0,0,9399,3277,6027,4753,4551
"146",2018,6,"MG",23275,5084,18191,8073,15202,191,0,0,0,0,23466,5084,18191,8073,15202
"147",2018,6,"MS",4088,1251,2837,1687,2401,29,0,0,0,0,4117,1251,2837,1687,2401
"148",2018,6,"MT",5363,1105,4258,2273,3090,50,0,0,0,0,5413,1105,4258,2273,3090
"149",2018,6,"PA",10954,4380,6574,5733,5221,118,0,0,0,0,11072,4380,6574,5733,5221
"150",2018,6,"PB",5186,1822,3364,2055,3131,44,0,0,0,0,5230,1822,3364,2055,3131
"151",2018,6,"PE",11886,3953,7933,5094,6792,102,0,0,0,0,11988,3953,7933,5094,6792
"152",2018,6,"PI",4209,1416,2793,1890,2319,34,0,0,0,0,4243,1416,2793,1890,2319
"153",2018,6,"PR",13590,3283,10307,4849,8741,118,0,0,0,0,13708,3283,10307,4849,8741
"154",2018,6,"RJ",18712,4901,13811,7304,11408,178,0,0,0,0,18890,4901,13811,7304,11408
"155",2018,6,"RN",4206,1442,2764,1670,2536,34,0,0,0,0,4240,1442,2764,1670,2536
"156",2018,6,"RO",2349,725,1624,1049,1300,19,0,0,0,0,2368,725,1624,1049,1300
"157",2018,6,"RR",1218,391,827,635,583,7,0,0,0,0,1225,391,827,635,583
"158",2018,6,"RS",12068,3414,8654,3993,8075,79,0,0,0,0,12147,3414,8654,3993,8075
"159",2018,6,"SC",8685,1980,6705,2897,5788,76,0,0,0,0,8761,1980,6705,2897,5788
"160",2018,6,"SE",2869,1130,1739,1213,1656,27,0,0,0,0,2896,1130,1739,1213,1656
"161",2018,6,"SP",53564,8419,45145,17690,35874,406,0,0,0,0,53970,8419,45145,17690,35874
"162",2018,6,"TO",2071,540,1531,962,1109,23,0,0,0,0,2094,540,1531,962,1109
"163",2018,7,"AC",1384,627,757,697,687,13,0,0,0,0,1397,627,757,697,687
"164",2018,7,"AL",3660,1588,2072,1877,1783,32,0,0,0,0,3692,1588,2072,1877,1783
"165",2018,7,"AM",6302,2259,4043,3316,2986,68,0,0,0,0,6370,2259,4043,3316,2986
"166",2018,7,"AP",1111,386,725,535,576,23,0,0,0,0,1134,386,725,535,576
"167",2018,7,"BA",16482,5258,11224,6789,9693,211,0,0,0,0,16693,5258,11224,6789,9693
"168",2018,7,"CE",10446,3332,7114,4310,6136,123,0,0,0,0,10569,3332,7114,4310,6136
"169",2018,7,"DF",3790,700,3090,1168,2622,27,0,0,0,0,3817,700,3090,1168,2622
"170",2018,7,"ES",4951,1364,3587,1777,3174,29,0,0,0,0,4980,1364,3587,1777,3174
"171",2018,7,"GO",8427,1765,6662,3368,5059,65,0,0,0,0,8492,1765,6662,3368,5059
"172",2018,7,"MA",9049,3117,5932,4692,4357,126,0,0,0,0,9175,3117,5932,4692,4357
"173",2018,7,"MG",23022,5128,17894,8078,14944,170,0,0,0,0,23192,5128,17894,8078,14944
"174",2018,7,"MS",4007,1241,2766,1749,2258,39,0,0,0,0,4046,1241,2766,1749,2258
"175",2018,7,"MT",5293,1075,4218,2252,3041,42,0,0,0,0,5335,1075,4218,2252,3041
"176",2018,7,"PA",10689,4378,6311,5744,4945,128,0,0,0,0,10817,4378,6311,5744,4945
"177",2018,7,"PB",4912,1732,3180,2021,2891,32,0,0,0,0,4944,1732,3180,2021,2891
"178",2018,7,"PE",11443,3878,7565,4928,6515,98,0,0,0,0,11541,3878,7565,4928,6515
"179",2018,7,"PI",4042,1378,2664,1795,2247,51,0,0,0,0,4093,1378,2664,1795,2247
"180",2018,7,"PR",13609,3227,10382,4877,8732,100,0,0,0,0,13709,3227,10382,4877,8732
"181",2018,7,"RJ",17887,4652,13235,6947,10940,197,0,0,0,0,18084,4652,13235,6947,10940
"182",2018,7,"RN",3803,1307,2496,1507,2296,38,0,0,0,0,3841,1307,2496,1507,2296
