"","UF","name","popm","gdpc","microregion","microregion_name","region","region_name","urban","codmun6","month","nconcep","nconcep_educ_low","nconcep_educ_high","nconcep_age_young","nconcep_age_old","nfetal","nfetal_educ_low","nfetal_educ_high","nfetal_age_young","nfetal_age_old","totalconcep","totalconcep_educ_low","totalconcep_educ_high","totalconcep_age_young","totalconcep_age_old","deaths","lgdp","lpop","isolated","n"
"9414","SP","Brotas",24636,27225.67,35026,"Rio Claro",3,"Sudeste",1,"350790",3,22,4,18,10,12,0,0,0,0,0,22,4,18,10,12,14,10.211915557232,10.1119640668069,0.373845009658491,31
"9415","SP","Brotas",24636,27225.67,35026,"Rio Claro",3,"Sudeste",1,"350790",4,23,4,19,11,12,0,0,0,0,0,23,4,19,11,12,16,10.211915557232,10.1119640668069,0.440071616917222,30
"9416","SP","Brotas",24636,27225.67,35026,"Rio Claro",3,"Sudeste",1,"350790",5,31,9,22,6,25,1,1,0,0,1,32,10,22,6,26,10,10.211915557232,10.1119640668069,0.402138911750838,31
"9417","SP","Buri",19965,20905.86,35041,"Itapeva",3,"Sudeste",1,"350800",2,14,4,10,8,6,0,0,0,0,0,14,4,10,8,6,11,9.94778478142812,9.90173601949732,0.360390402937043,29
"9418","SP","Buri",19965,20905.86,35041,"Itapeva",3,"Sudeste",1,"350800",3,28,15,13,13,15,0,0,0,0,0,28,15,13,13,15,10,9.94778478142812,9.90173601949732,0.42701985423457,31
"9419","SP","Buri",19965,20905.86,35041,"Itapeva",3,"Sudeste",1,"350800",4,25,11,14,14,11,0,0,0,0,0,25,11,14,14,11,7,9.94778478142812,9.90173601949732,0.45038061359993,30
"9420","SP","Buri",19965,20905.86,35041,"Itapeva",3,"Sudeste",1,"350800",5,24,5,19,10,14,1,0,1,1,0,25,5,20,11,14,12,9.94778478142812,9.90173601949732,0.435655285516486,31
"9421","SP","Buritama",17281,37385.31,35018,"Birigui",3,"Sudeste",1,"350810",2,8,1,7,3,5,0,0,0,0,0,8,1,7,3,5,12,10.5290331254954,9.75736291105399,0.304510565028887,29
"9422","SP","Buritama",17281,37385.31,35018,"Birigui",3,"Sudeste",1,"350810",3,17,0,17,9,8,0,0,0,0,0,17,0,17,9,8,14,10.5290331254954,9.75736291105399,0.369009914959276,31
"9423","SP","Buritama",17281,37385.31,35018,"Birigui",3,"Sudeste",1,"350810",4,13,2,11,4,9,0,0,0,0,0,13,2,11,4,9,11,10.5290331254954,9.75736291105399,0.395617659128751,30
"9424","SP","Buritama",17281,37385.31,35018,"Birigui",3,"Sudeste",1,"350810",5,17,4,13,3,14,0,0,0,0,0,17,4,13,3,14,21,10.5290331254954,9.75736291105399,0.370790955472483,31
"9425","SP","Cabrália Paulista",4243,19260.49,35020,"Bauru",3,"Sudeste",0,"350830",2,5,2,3,5,0,0,0,0,0,0,5,2,3,5,0,5,9.86581112635767,8.35302584520232,0.301992290880669,29
"9426","SP","Cabrália Paulista",4243,19260.49,35020,"Bauru",3,"Sudeste",0,"350830",3,4,2,2,1,3,0,0,0,0,0,4,2,2,1,3,4,9.86581112635767,8.35302584520232,0.403189987597681,31
"9427","SP","Cabrália Paulista",4243,19260.49,35020,"Bauru",3,"Sudeste",0,"350830",4,5,0,5,3,2,0,0,0,0,0,5,0,5,3,2,4,9.86581112635767,8.35302584520232,0.445625842256309,30
"9428","SP","Cabrália Paulista",4243,19260.49,35020,"Bauru",3,"Sudeste",0,"350830",5,4,0,4,1,3,0,0,0,0,0,4,0,4,1,3,5,9.86581112635767,8.35302584520232,0.409195782324485,31
"9429","SP","Cabreúva",50429,95518.16,35046,"Sorocaba",3,"Sudeste",1,"350840",2,54,8,46,21,33,0,0,0,0,0,54,8,46,21,33,25,11.4670716654593,10.8283216854076,0.315538398204293,29
"9430","SP","Cabreúva",50429,95518.16,35046,"Sorocaba",3,"Sudeste",1,"350840",3,51,12,39,19,32,0,0,0,0,0,51,12,39,19,32,12,11.4670716654593,10.8283216854076,0.403414712672565,31
"9431","SP","Cabreúva",50429,95518.16,35046,"Sorocaba",3,"Sudeste",1,"350840",4,64,15,49,27,37,0,0,0,0,0,64,15,49,27,37,21,11.4670716654593,10.8283216854076,0.452239951320567,30
"9432","SP","Cabreúva",50429,95518.16,35046,"Sorocaba",3,"Sudeste",1,"350840",5,62,7,55,17,45,0,0,0,0,0,62,7,55,17,45,26,11.4670716654593,10.8283216854076,0.429886024023345,31
"9433","SP","Caçapava",95018,46192.5,35050,"São José dos Campos",3,"Sudeste",1,"350850",2,86,13,73,16,70,1,1,0,1,0,87,14,73,17,70,44,10.7405727262293,11.461821626319,0.297222353187608,29
"9434","SP","Caçapava",95018,46192.5,35050,"São José dos Campos",3,"Sudeste",1,"350850",3,96,15,81,28,68,1,0,1,0,1,97,15,82,28,69,50,10.7405727262293,11.461821626319,0.406251645017929,31
"9435","SP","Caçapava",95018,46192.5,35050,"São José dos Campos",3,"Sudeste",1,"350850",4,90,13,77,32,58,0,0,0,0,0,90,13,77,32,58,48,10.7405727262293,11.461821626319,0.468437013245193,30
"9436","SP","Caçapava",95018,46192.5,35050,"São José dos Campos",3,"Sudeste",1,"350850",5,109,13,96,37,72,0,0,0,0,0,109,13,96,37,72,57,10.7405727262293,11.461821626319,0.418117995195614,31
"9437","SP","Cachoeira Paulista",33581,18401.78,35051,"Guaratinguetá",3,"Sudeste",1,"350860",2,33,4,29,11,22,0,0,0,0,0,33,4,29,11,22,17,9.82020267804858,10.4217157098189,0.333930975460049,29
"9438","SP","Cachoeira Paulista",33581,18401.78,35051,"Guaratinguetá",3,"Sudeste",1,"350860",3,29,3,26,11,18,0,0,0,0,0,29,3,26,11,18,31,9.82020267804858,10.4217157098189,0.438826381678792,31
"9439","SP","Cachoeira Paulista",33581,18401.78,35051,"Guaratinguetá",3,"Sudeste",1,"350860",4,28,4,24,10,18,0,0,0,0,0,28,4,24,10,18,17,9.82020267804858,10.4217157098189,0.497893242181289,30
"9440","SP","Cachoeira Paulista",33581,18401.78,35051,"Guaratinguetá",3,"Sudeste",1,"350860",5,33,4,29,11,22,0,0,0,0,0,33,4,29,11,22,21,9.82020267804858,10.4217157098189,0.446606835078408,31
"9441","SP","Caconde",19009,18846.16,35030,"São João da Boa Vista",3,"Sudeste",0,"350870",2,15,3,12,8,7,0,0,0,0,0,15,3,12,8,7,15,9.84406445859589,9.85266783020615,0.330122274124872,29
"9442","SP","Caconde",19009,18846.16,35030,"São João da Boa Vista",3,"Sudeste",0,"350870",3,13,2,11,5,8,0,0,0,0,0,13,2,11,5,8,11,9.84406445859589,9.85266783020615,0.416739217305446,31
"9443","SP","Caconde",19009,18846.16,35030,"São João da Boa Vista",3,"Sudeste",0,"350870",4,11,1,10,2,9,0,0,0,0,0,11,1,10,2,9,13,9.84406445859589,9.85266783020615,0.453189310614348,30
"9444","SP","Caconde",19009,18846.16,35030,"São João da Boa Vista",3,"Sudeste",0,"350870",5,23,6,17,13,10,0,0,0,0,0,23,6,17,13,10,7,9.84406445859589,9.85266783020615,0.435286799926208,31
"9445","SP","Cafelândia",17843,28550.67,35019,"Lins",3,"Sudeste",1,"350880",2,16,4,12,5,11,0,0,0,0,0,16,4,12,5,11,16,10.2594356824095,9.78936655343143,0.300136640017131,29
"9446","SP","Cafelândia",17843,28550.67,35019,"Lins",3,"Sudeste",1,"350880",3,20,7,13,8,12,0,0,0,0,0,20,7,13,8,12,14,10.2594356824095,9.78936655343143,0.375210902518683,31
"9447","SP","Cafelândia",17843,28550.67,35019,"Lins",3,"Sudeste",1,"350880",4,15,4,11,5,10,0,0,0,0,0,15,4,11,5,10,14,10.2594356824095,9.78936655343143,0.419934330180135,30
"9448","SP","Cafelândia",17843,28550.67,35019,"Lins",3,"Sudeste",1,"350880",5,22,2,20,11,11,0,0,0,0,0,22,2,20,11,11,12,10.2594356824095,9.78936655343143,0.397918707660097,31
"9449","SP","Caieiras",102775,35517.31,35058,"Franco da Rocha",3,"Sudeste",1,"350900",2,94,11,83,33,61,0,0,0,0,0,94,11,83,33,61,45,10.4777754622563,11.5402974117661,0.300037635482226,29
"9450","SP","Caieiras",102775,35517.31,35058,"Franco da Rocha",3,"Sudeste",1,"350900",3,105,15,90,37,68,0,0,0,0,0,105,15,90,37,68,44,10.4777754622563,11.5402974117661,0.407562259118462,31
"9451","SP","Caieiras",102775,35517.31,35058,"Franco da Rocha",3,"Sudeste",1,"350900",4,106,7,99,43,63,1,0,1,0,1,107,7,100,43,64,68,10.4777754622563,11.5402974117661,0.49432969490801,30
"9452","SP","Caieiras",102775,35517.31,35058,"Franco da Rocha",3,"Sudeste",1,"350900",5,119,14,105,50,69,1,0,1,1,0,120,14,106,51,69,59,10.4777754622563,11.5402974117661,0.470536980846473,31
"9453","SP","Cajamar",77934,224359.59,35057,"Osasco",3,"Sudeste",1,"350920",2,105,18,87,27,78,0,0,0,0,0,105,18,87,27,78,29,12.3210053562004,11.2636175936353,0.273058392181122,29
"9454","SP","Cajamar",77934,224359.59,35057,"Osasco",3,"Sudeste",1,"350920",3,112,12,100,33,79,1,0,1,0,1,113,12,101,33,80,38,12.3210053562004,11.2636175936353,0.373471683141708,31
"9455","SP","Cajamar",77934,224359.59,35057,"Osasco",3,"Sudeste",1,"350920",4,105,13,92,26,79,0,0,0,0,0,105,13,92,26,79,37,12.3210053562004,11.2636175936353,0.458711494112005,30
"9456","SP","Cajamar",77934,224359.59,35057,"Osasco",3,"Sudeste",1,"350920",5,108,13,95,30,78,0,0,0,0,0,108,13,95,30,78,51,12.3210053562004,11.2636175936353,0.432849927906822,31
